tweet,label,type
"#IndianRailways will be saving almost â‚¹20,000 crores annually by Rail Electrification. More savings if rail electricity comes from renewable sources
No wonder, we are seeing bumper investments in LHB coaches, Vande Bharat trainsets, track safety &amp; railway station redevelopment.l",non_complaint,
"RT @ARailfanning: Beautiful Sunset from Gatimaan Express Ã°Å¸ËœÃ°Å¸â€˜Ã°Å¸â€Â¥
#gatimanexpress #railphotography #trainphotography #railway #railfan #railfanning #indianrailways #photography #sunset #sunsetphotography #assortedrailfanning #trains https://t.co/NFV6scZy3W",non_complaint,others
"#UPSC to conduct separate exam for #IndianRailways from 2023

https://t.co/Z4cbyR2XZZ https://t.co/w8VtEyXEh2",non_complaint,Information
"One of my relatives missed Sunday 14 Aug22, traveling from Rajkot to Vadodara via Indian Railway. Requesting Indian railways to involve to investigate.
Name - Alok Pratibhu Jena.
Age - 29 Yrs.

Pls contact Hari- 8588828171

#IndianRailways
#RajkotRailway
#Ashwini_Vaishnaw 
#RPF https://t.co/eFKDvpAoZT",non_complaint,Missing person during train journey
"If you are travelling from kolkata to delhi on train,avoid the patna route,choose the trains running through gaya route. #poorvaexpress #indianrailways #12381 #12303 https://t.co/D9Qi2vTipX",non_complaint,Information
"Dear indian railways could you please check this pnr number 2734990382.
Is this train diverted on journey date.
I got a message from irctc that this train is diverted on 7/02/2023
#Railmadad #IndianRailways",non_complaint,Informational
"#IncredibleIndia #IndianRailways
A beautiful capture of the golden sunset over the Kali river from the train, with the Western Ghats in the background near Karwar station on the Konkan Railway route. 

Pic. courtesy: Gautham Karthik! https://t.co/TIBTTOCkdD",non_complaint,Appreciation
"Various options for travel to Chennai from Secunderabad/Hyderabad, India by train #traintravel #sc-mas #Secunderabadtochennai #IndianRailways @indianrailway__ @IRCTCofficial @irctcsouthzone @irctcsczone https://t.co/9G5fw2rb0A",non_complaint,miscellaneous
"The laptop you ordered from #Amazon / #Flipkart  this festive season has reached ""safely"" by train ðŸ¤¦â€â™‚ï¸ðŸ™†â€â™‚ï¸

#IndianRailways https://t.co/BTHGtYQlt0",non_complaint,Informational
"Greetings from USR Power Industries Private Limited
 #RailwayPolice #RPF #indianrailways 
#usrpower #startupindia #distributor #newbusiness #startup #panindiashipping #engineoil #lubricants #synthetic #automotive #happycustomer https://t.co/xViGpincwt https://t.co/Yy8jQt69jT",non_complaint,facility
"A precious life was saved by the courageous act of help by on-duty staff, who jumped on tracks himself to save a person from getting gravely injured. #IndianRailways is proud to have daring&amp;diligent staff like H. Satish Kumar and commends his bravery. #ViralVideo #Trending #India https://t.co/ebg8URO73X",non_complaint,Services
"@RailMinIndia @AshwiniVaishnaw @rarora60 So pleasure to travel from Vande Bharat 22440, Coach no.14, PNR no 2138199586 , seat no 42 , hospitality of stall is exceptionally good , served with love &amp; care &amp; have maintained high standards of service, Thanks to #IndianRailways",non_complaint,Miscellaneous
"Greetings from DSE!
We are pleased to announce the upcoming expert talk of our faculty, Dr. Pankaj Yadav at the International Conference of Rail Tech-2022 organized by The Associated Chambers of Commerce and Industry of India (ASSOCHAM). 
#indianrailways #irctc #energy https://t.co/fVrbJxTCI1",non_complaint,Informational/Opinion
"#IncredibleIndia
#HimachalPradesh
#IndianRailways
Lovely aerial capture of the scenic landscape as a train rolls down from Joginder Nagar to Baijnath on Kangra valley (Himachal Pradesh) railway line, in the jurisdiction of Firozpur division in Northern Railway.

ðŸ“· : Benhur https://t.co/vlzByNVeyp",non_complaint,Appreciation
"Electrified kms on Indian Railways  from 1925 to 2014 : 20,059

Electrified Kms on Indian Railways from 2014 to 2021 : 24,080

We electrified more of our Railways in the last 7 years than we did in 90 years preceding that..

#IndianRailways 
#strongindia 
#NarendraModi",non_complaint,miscellaneous
"Took a train from Tvm to kochi after ages , coach is super clean and well maintained ! Impressive ðŸ’•ðŸ’•@RailMinIndia #IndianRailways",non_complaint,Appreciation
"I'm in new delhi poorvottar sampark kranti express 22449 from guwahati to patliputra in s4 47. 
Read more in discription.
@RailwaySeva @RailMinIndia @RailNf @AshwiniVaishnaw #IndianRailways https://t.co/ndu4Cg6oOB",non_complaint,cleanliness
"#IndianRailways: The #revenue generated from unreserved passenger segment during the period 1st April to 31st December 2022 is 10,430 crores rupees as compared to 2169 crores during the same period previous year, showing an increase of 381 percent.",non_complaint,Financial
"@RailMinIndia @IRCTCofficial
@IndianRailUsers @IR_CRB @AshwiniVaishnaw @RailwaySeva
#IndianRailways Make Berth/Seat reservation system more open &amp; transparent by displaying the total &amp; vacant Berth/Seat along with layout plan on #IRCTC Website to select from for a rail traveller.",non_complaint,reservation system
"#GitaTeraGyanAmrit_AudioBook 
From 84 lakh life forms Human Body is Superior.
To know, must read or listen to the Audio book ""Gita Tera Gyan Amrit"" from Sant Rampal Ji Maharaj App .

#Indians #IndianRailways #WorldNews #World #WorldCup2022 #IndigoByRM #ShahRukhKhan #hindutamil https://t.co/vlbx5k9eWw",non_complaint,miscellaneous
"On a misty early winter morning, the erstwhile #MeterGauge Express to #Udaipur from #Ahmedabad departs after crossing itÃ¢â‚¬â„¢s counterpart from Umrah. The Aravali ranges dwarf these trains through the rugged terrain. #IndianRailways #IRFCA #IncredibleIndia https://t.co/t766ZJ4MBM",non_complaint,others
@NarendraBJPRaj @AshwiniVaishnaw @BJP4India @BJP4Rajasthan @PMOIndia @JPNadda @DrSatishPoonia @chshekharbjp @BhajanlalBjp @ArunSinghbjp #IndianRailways cancelled 226 trains including Sainik Express from #Delhi to #Jaipur.,non_complaint,Information
All ready for a footplate inspection on a rainy night! The view from inside a WAP-7 cab! #IndianRailways #inspection https://t.co/4l4PlVN4qQ,non_complaint,others
"@IRCTCofficial 
Travelling im the prestigious #Tejusexpress from Delhi to Lucknow...
The staff's hospitality &amp; service is at mark with any prestigious airline this country has..extremly hygienic!
Good Job!
#navratri #indianrailways",non_complaint,cleanliness
The Maha #MumbaiMetro Corporation Operation Ltd (MMMOCL) has come up with a solution Ã¢â‚¬â€œ installing anti-bird nesting PVC nets Ã¢â‚¬â€œ to prevent birds from making their nests on electric poles that are connected to overhead cables supplying power to run metro lines. #IndianRailways https://t.co/Iv3zKtcZQ1,non_complaint,others
"Today's #railway #photo - the beautiful capture of a train emerging from a forest on the scenic Western Ghats somewhere on the Sengottai-Punalur line in the jurisdiction of @drmmadurai in @GMSRailway! Pic courtesy, Mohammed Ali! #IndianRailways #trains #photography @KeralaTourism https://t.co/l5354nhaUJ",non_complaint,Information
"Railways To Resume Catering Services From February 14
Check
https://t.co/s7gpxp7UXr

#railway #IRCTC #IndianRailways",non_complaint,facility
"#IndianRailways increases the limit of online booking of tickets through @IRCTCofficial website/app from 12 tickets in a month to 24 tickets 

Details: https://t.co/XaUiXvP8qC @RailMinIndia",non_complaint,Informational
After 6 years traveling in #IndianRailways â€¦.. suddenly realising air travel is becoming more convenient and preferred choice for the people from social circle in #India ðŸ‡®ðŸ‡³ â€¦ question is your mode of public transport is changed in recent years?,non_complaint,Change in preferred transport mode
"Railways receive 297 proposals from startups under 'StartUps for Railways' #ashwanivaishnaw #IndianRailwayInnovationPolicy #indianrailways #startups https://t.co/W92sYOLfwU
https://t.co/uT34K3BSbk",non_complaint,Informational
"International Union of Railways (UIC) and Railway Protection Force to organise 18th World Security Congress in Jaipur from 21st to 23rd February

Read more...https://t.co/eIuYdP7942
 
#indianrailways #railway #infrastructure #events #technology #UIC #RPF #project https://t.co/fEJ09b9BQ4",non_complaint,
"@IRCTCofficial My PNR is 6207936045 , Actually my train is from Gondia to CSMT , but due to certain reasons , Iâ€™ll not be able to board the train from Gondia ! Kindly change my boarding station viz. Nagpur ! As my reservation is RAC so this might concern you! 
#IndianRailways",non_complaint,Booking/Refund
"Yes, I Myself have personally seen this transformation in the #IndianRailways while I was traveling to my village from Mumbai.
Special Thanks to @AshwiniVaishnaw Sir and all the people who made it happen.
JaiðŸ‡®ðŸ‡³Hind
@RailMinIndia",non_complaint,Appreciation
"We would like to share the news that in the 64th National Shooting Championships held at Delhi, #IndianRailways won Silver in 10m Air pistol event. Ms.Padama from Chennai division of @GMSRailway (CTI/MAS) was a member of the Silver medal winning team. #sports #shooting",non_complaint,medical assistance
ðŸ¤¨ Would you like to take ride on a railway train without an engine?? Check out this video clip from #indianrailways #India #ViralVideo https://t.co/m8CFnD0bSD,non_complaint,Information/Entertainment
I don't know from where this is! But hope @AshwiniVaishnaw @RailMinIndia will definitely take action on this man We have trust on you @AshwiniVaishnaw Sir hope he will get justice. #IndianRailways,non_complaint,Service Quality
"@AshwiniVaishnaw Suggest to start a special train in the name of Paika express from Bhubaneshwar to Bengaluru, in the memory of Ã¢â‚¬Å“Paika RebellionÃ¢â‚¬Â #paikavidroh #paikarebellion #IndianRailways",non_complaint,cleanliness
"@AshwiniVaishnaw 
#IndianRailways booming under current #Leadership of #ashwinivaishnaw 

Travelled to #Kashi from #ndls on Vande Bharat express #train18. 

Absolutely #sumptuous experience and delicious food served onboard by highly courteous staff. 
Train no 22436.",non_complaint,punctuality
"#IndianRailways earns over Rs. 1.20 lakh crore from freight loading in the current financial year till last month. 

Railway Ministry says, the freight earnings has increased by 16 per cent as compared to the same period of last year.
@RailMinIndia https://t.co/bAXLnGZYW7",non_complaint,Financial
"After a hiatus of three years, Indian Railways to resume the busy season surcharge on goods traffic this time. Indian Railways is going to levy a surcharge of 15% on all goods traffic from October 1.

#IndianRailways #Freight

https://t.co/fGgFVlkZzs",non_complaint,punctuality
"Chakradharpur Division observing Swachhata Pakhwara from 16.09.2022 to 02.10.2022
@DycenhmS
#ser #Indianrailways 
#SwachhRail 
#SwachhataPakhwara https://t.co/kdOYEnTbKx",non_complaint,staff behaviour
"The 13th item from my previous tweet on responsible travel - Please not enter a coach if you do not have a confirmed seat/berth. Even if you have entered the coach and there is a prospect of confirmation of a berth, please don't block the pathways for passengers. #IndianRailways",non_complaint,Informational
"The #railway ministry has also earmarked #NewDelhi-#Mumbai and New Delhi-#Howrah routes for metal fencing all along the track apart from vulnerable locations on other route

#VandeBharat
#IndianRailways 

https://t.co/PK4Hps3Iyx",non_complaint,Service Announcement
"#MumbaiLocalNews: CR Receives INR 1 Cr From Ticketless Commuters

@Central_Railway #IndianRailways 

https://t.co/dejhOAclLv",non_complaint,News
I am traveling to Delhi from Katra in Vande Bharat. And i like the services provided by staff during journey. Deepak Kumar is nice guy and provided good service in my coach(C6). #VandeBharat #IndianRailways,non_complaint,
"Sri D.C. Rathod Assistant Sub-Inspector #Ballari along with staff conducted intensive drive under 'Operation Satark'&amp; Seized 540 Nos of liquor bottles being illicitly transported valued Rs.28,065 from various trains at #Ballari Railway Station
#IndianRailways #RPF 
@rpfswr https://t.co/f2YMpdF6gB",non_complaint,corruption / bribery
"Trial run of electric train from #Badgam (BDGM) to #Baramula (BRML) in J&amp;K, was conducted successfully - Video

@RailMinIndia

#India #JammuKashk #IndianRailways #ElectricTrain #Transport #Infrastructure
https://t.co/iJFT62XxuR

Via Ministry of Railways - India https://t.co/sShzMGFr8L",non_complaint,facility
There seems to be some confusion regarding train no.22160 from MAS to LTT. We would like to inform the passengers that this train is running as per the diverted route mentioned and this notification issued by us stands good as it reflects the latest position. #IndianRailways https://t.co/InJHIyzq9l,non_complaint,cleanliness
"India's First ever Private train 'Bharat Gaurav' flagged of from Coimbatore to Shirdi.

@RailMinIndia
#feedmile #PrivateTrain #BharatGaurav #IndianRailways #Coimbatore #Shirdi https://t.co/zcxRVPJIWB",non_complaint,Informational
"#AatmaNirbharBharat 
Transforming #IndianRailways 

Railways earns Rs 1.43 trn from freight in FY22, ferries 1,418 mn tonnes
https://t.co/0fJbEX4fOA

via NaMo App https://t.co/PztOdm0NlA",non_complaint,miscellaneous
"Fire on Dakshin Express bound to Delhi from Telangana, under control no casualty #dakshinexpress #Telangana #delhi #IndianRailways https://t.co/IZHs7oJJOI",non_complaint,Safety
"(3/3) All #IRCTC Business Partners have been asked to immediately examine whether there is any data leakage from their end and apprise the results along with corrective measures taken to IRCTC,the railway spokesperson said.
#IndianRailways",non_complaint,Informational
"It's been an great experience to travel on #VandeBharatexpress from #Durg to #Nagpur 
Food quality was good and hygiene that I can give them 9/10
Train neatness -9/10
Staff behaviour - 10/10
Seat comfort - 7/10 
Toilet - 10/10
#IRCTC 
#IndianRailways 
#indianrailwaycatering https://t.co/1koiTBXbFg",non_complaint,Positive feedback
"#IndianRailways: IRCTC to begin Shri Jagannath Yatra train under Bharat Gaurav from January 25

#IRCTC 

https://t.co/f83NuJQGx9",non_complaint,New service announcement
"The first bench of Madras HC dismissed a petition filed for restraining the Indian Railways department from implementing the Thanjavur â€“ Pattukottai broad-gauge railway line project.

#thanjavurpattukottairailwayproject #IndianRailways #madrashc #thanjavur
https://t.co/99db6dQD85",non_complaint,Informational
"Become a part of the 5th InnoRail India 2022 from 17-19 November 2022 in Lucknow and connect with key people from the railways sector from across the globe.

Location: RDSO Stadium Ground

Know more at https://t.co/XuQZiILGyN

#IndianRailways #TradeFair #IndiaExpo #RailExpo https://t.co/xZCCdsEXob",non_complaint,Marketing
"Ula Rail is a premiere tourist train from TN to destinations across Indian sub-continent. The venture aims to promote domestic tourism &amp; allows people to explore through a curated itinerary.

#ULA #Tourism #TamilNadu #train #IndianRailways #traveltimes
https://t.co/eoHnrbvTT5",non_complaint,General Information
"16-07-22
#Alco coming down with Departmental rake towards #karjat from #Lonavala #shotoniphone12promax #apple #loveit #missyousachin #instatailfans #trainspotting #trains #indianrailways #instarail #irfca #lovetrains https://t.co/O4yH0RyRRA",non_complaint,Train spotting
"The late afternoon monsoon sun peeks with shadows brightly on a shining YDM4 hauling the #MeterGauge passenger train from #aishbagh in 2013, though the lush greenery in the small hamlet of Sidhauli in #UttarPradesh #India. #IndianRailways #Railduniya #IRFCA https://t.co/Iy4XXfwYch",non_complaint,bed roll
"The painter, Mr.Bijay Biswaal is a retired Chief Ticketing Inspector from #IndianRailways and is a painter by passion.",non_complaint,punctuality
Traveled via #vandebharat train from delhi to katra   @narendramodi ji and @PiyushGoyal and it was amazing experience. Nothing less than flight. The food was superb #IndianRailways #jaimatadi https://t.co/Ol5tS8kNWH,non_complaint,Positive Experience
"Today's #railway #photo - the enchanting beauty of the scenic landscape, as seen from the train, near Lovedale station on the Nilgiri Mountain Railway, in the jurisdiction of @SalemDRM in @GMSRailway! Pic courtesy, Ali Jauhar! #IndianRailways #trains #photography @SandipGhose https://t.co/FLAb5iCgTA",non_complaint,Photography
"Person with Disabilities- ""Stories from a Railway Station""- Pt-1
.
.
.
#patna #bihar #biharspecial #biharexplore #indianrailways #streetphotography https://t.co/pZVDlaPYa0",non_complaint,Information/Entertainment
"#WorldBiofuelDay To save our planet from pollution, we all need to fuel up the world, with bio-fuel. #HarGharTringa #AzadiKaAmritMahotsav #IndiaAt75  #MainBharatHoon #MomentsWithTiranga #IndianRailways @RailMinIndia @wc_railway @drmkota @drmjabalpur @AshwiniVaishnaw https://t.co/uW6aqOJYwe",non_complaint,
"India's first 'BHARAT GAURAV' train departs from Coimbatore to Shirdi.
#IndianRailways #BharatGaurav https://t.co/7PuAZGy6rb",non_complaint,Informational
"(2/3) On analysis of sample data, it was found that the sample data key pattern does not match with IRCTC history application programming interface (API). Suspected data breach is not from the #IRCTC servers.
#IndianRailways",non_complaint,Informational
"Good â˜”ï¸ Morning from #Bengal ! 

#Asansol #Durgapur #IndianRailways #AzadiKaAmritMahotsav https://t.co/cVNASnamgV",non_complaint,Greetings
"Soon, the journey from Delhi to Srinagar will take only 8 hours: Nitin Gadkari 
#IndianRailways 
#JammuAndKashmir https://t.co/01iTdYJZr3",non_complaint,facility
"Western RailwayÃ¢â‚¬â„¢s Mumbai division runs domestic container train from Vapi in Gujarat to Panipat for the first time

Read more...https://t.co/QmKyRZ8FIV
 
#westernrailway #indianrailways #railway #infrastructure #inauguration #domesticcontainer #project https://t.co/7VVduGvsuM",non_complaint,punctuality
"GROWTH IN REVENUE GENERATION 
FROM FREIGHT LOADING 
Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³Ã°Å¸â€Â³
#ser #IndianRailways 
#HungryForCargo 
#MoveItLikeRailways https://t.co/W2dVyH2r8L",non_complaint,security
"IREPS invites tender for earthwork for viaduct, RUBs, ROBs, and bridges for construction of new line from Daulatpur Chowk to Kartoli Punjab

Read more...https://t.co/sazVds2sqK
 
#IREPS #indianrailways #railway #bridges #tunnel #RUB #ROB #viaduct #construction #roadunderbridge https://t.co/DPlKTVoJE5",non_complaint,staff behaviour
"During the steam traction days, the drivers retiring from service used to take pride in the machines which sustained their career in #IndianRailways! Here is the photo of one such retiring driver, posing with his YP class steam loco at Bangalore in 1986. @SachinKalbag @aparanjape https://t.co/pY7l6hGoD8",non_complaint,Retrospective photo of a retiring train driver
Traveled after long in #Indianrailways. Took #Shatabadi 12040 from Delhi to Kathgodam. The service &amp; quality of food was very good in E1 compartment. @AshwiniVaishnaw @RailMinIndia,non_complaint,Experience
"Rs 38 will be deducted from the salary of railway employees for Tiranga https://t.co/BWKT3Addim 

""This money will go to the private company making these Indian Flags. What if the employees want to buy it from a street vendor for Rs 20??""

#IndianRailways #HarGharTiranga",non_complaint,Political
Some recent live sketch from train. #IndianRailways #livesketch #livepractice #Pencildrawing #portrait #anatomy https://t.co/uUTahUZAC4,non_complaint,punctuality
Is 500 ml water adequate from Lucknow to New Delhi. PNR 2354177878 Shatabdi express ? #IRCTC #IndianRailways #Value https://t.co/EZDbIsfffJ,non_complaint,
"Tickets for Rampath Darshan Pilgrimage Special Tourist train from Maharashtra to Ayodhya sold out

#UttarPradesh #Maharashtra #Ayodhya #India #IndianRailways 

https://t.co/xQKhOfC1dX",non_complaint,punctuality
"A look at the various catering experiments by the #IndianRailways over the years, from dining cars to e-catering, and how nothing made everybody happy

https://t.co/5QR8ThxmUu",non_complaint,
"Why the two #VandeBharat trains in Mumbai will be a gamechanger. Take a look at News18's @kaidensharmaa's ground report from earlier today 

#News18Special #Mumbai #IndianRailways #GroundReport https://t.co/lceMu0wuQK",non_complaint,Information
"#IndianRailways to organize week long celebrations from 18th July-23rd July
Chairman and CEO/Railway Board inaugurates Iconic Week Celebrations of â€˜Azadi Ki Rail Gadi aur Stationsâ€™
#AzadiKaAmritMahotsav 
#AzadiKiRail 
@PIB_India 

https://t.co/qJn0Jzkzc3",non_complaint,Celebrations
"#MitaliExpress #IndianRailways #BangladeshRailways #NJPstation
Mitali express starts it's journey from NJP railway station towards Bangladesh. https://t.co/7A93yoVUZP",non_complaint,Informational
"246 trains cancelled today by #IndianRailways. This includes #Shatabdi from New Delhi to Kanpur, Intercity Express from Bareilly to New Delhi, and Patna to Banaras Janshatabdi.

Check Full List Here: https://t.co/O9FN4qCjnG",non_complaint,Train cancellation
"#DidYouKnow The railway scenes from the most popular films like Dilwale Dulaniya Le Jayenge, Kuch Kuch Hota Hai, Rang de Basanti, Baaghi, Khaki, Shaadi No. 1, and Chinatown were shot at a small, scenic station called Apta on the Panvel-Roha route. #IndianRailways #Bollywood",non_complaint,Informational
"Indian Railwaysâ€™ Bharat Gaurav train will transport pilgrims from June 21 to places linked with Lord Ram in India and Nepal, have theme-based coaches, yoga facility

#IndianRailways @IRCTCofficial  #IndianTourism

https://t.co/8YIP11qAEZ",non_complaint,Informational
"Did #KareenaKapoor's Geet from #JabWeMet increase revenues of #IndianRailways? Here's what netizens feel

https://t.co/k1b6aAFGRC",non_complaint,Opinion
"Train No. 22868 ( Humsafar Express) is always 2-4 hours late from its source station. Why #IndianRailways can't schedule at that time. People are suffering because of this.
@AshwiniVaishnaw @RailMinIndia",non_complaint,
"What else does a bengali want from #IndianRailways ? 
Thank you for stopping the train and catching a fresh fish to serve it to me later. The feeling can't be expressed in words. 
Thank you #IRCTC and #Modijj ðŸ™ https://t.co/IKwpycrOv1",non_complaint,
"The #IndianRailways has repaired 2,179 damaged wagons to carry more #coal from mines to power plants at a cost of Ã¢â€šÂ¹150 crore.

https://t.co/HFgRQcEwNt",non_complaint,corruption / bribery
"IN Rlys deal with Siemens valued @ â‚¹26,000 Cr for 1200 units of 9000 HP Made in India, Electric Locomotives from Dahod, Gujrat.

#MakeInIndia lion is roaring loud.
#India #IndianRailways",non_complaint,Information
Thank u #IndianRailways #ministeryrailway #ashwinivaishnav running 11 hrs train late running from Anand vihar to Madhupur . 16 hrs journey is going to take 27to 30 hrs Thank u so much ðŸ˜€ðŸ˜€ðŸ˜€ðŸ˜ŠðŸ˜Š https://t.co/U3KzmyXprP,non_complaint,Appreciation/Positive
"Revised Organisational chart of Railway Board from ED &amp; above level as on 19th December 2022
#indianRailways https://t.co/mFFPB4IONT",non_complaint,Organizational Chart
"From the new to the old #ChennaiMetro 

#chennaidiaries  #IndianRailways#chennaidiaries #IndianRailways#travelphotography #electrictrains 
#chennaiphotography #chennaicity #nammachennai #streetsofchennai #chennai #chennaiphotographer #trainspotting #streÃ¢â‚¬Â¦ https://t.co/MY5SvKkLOi https://t.co/S4HkGHhwNE",non_complaint,others
"The first consignment was from Chennai Egmore to Tiruchirapalli. The details are -
First Mile: Thiruvalam, Ranipet to MS â€“ 127 kms by India Post
Middle Mile: MS to TPJ 401 kms by Train No â€“16105 Tiruchendur Express
Last Mile: TPJ to Ariyalur 76 kms by India Post. #IndianRailways",non_complaint,Appreciation
"If you have been to #Chennai Central station lately, you would see these new unique HVLS (High Volume Low Speed) fans in both the concourses. The diameters are of 18 feet and 16 feet respectively and they are unique because they aren't suspended from the ceiling. #IndianRailways",non_complaint,Information/Advertisement
"#RailPost #GatiShakti Express #Cargo Service starts from #Kacheguda 

ðŸ‘‰A joint collaboration btw #IndianRailways and #IndiaPost to provide door-to-door parcel service to the customer.

ðŸ‘‰SCR commenced its first Parcel Train Service under Joint Parcel Product concept https://t.co/D2W0xfXrrC",non_complaint,
"India-Bangladesh train services to resume from May 29 

Read @ANI | https://t.co/B3RO0uCEkP
#IndiaBangladesh #trainservices #IndianRailways https://t.co/QZpR4QdiVW",non_complaint,
WCR earnings from passenger traffic in FY 2022-23 till August 31st have increased by 105.52% over the corresponding period of FY 2021-22. #IndianRailways  @BhopalDivision @drmkota @drmjabalpur https://t.co/j5vSmEGFEy,non_complaint,miscellaneous
"#railway 
#railinfra4maharashtra  #irctc #IndianRailways 
#EknathShinde  #Yogi 
#NitishKumar  #NitinGadkari 
#RailMinIndia #IRCTCofficial 

The government should pay attention that from March to June there is more requirement of trains from Maharashtra to Uttar Pradesh and Bihar. https://t.co/IlpYlAHjDm",non_complaint,Suggestion
"After a long time travelling in Indian Railway train. 
-&gt; Train departed on time from the source station.
-&gt; Running at avg 80-90kmph.
-&gt; Cleanliness is good.
Really Impressive improvements.
#IndianRailways",non_complaint,staff behaviour
